localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,imgsrctext,imgsrcurl,localdatasrctext,localdatasrcurl,globaldatasrctext,globaldatasrcurl,moreinfo
280.0663472,null,6/7/1974,null,null,,,,,,,,,,,
280.0371083,null,8/25/1974,null,null,,,,,,,,,,,
null,-0.822719772,11/2/1974,null,null,,,,,,,,,,,
280.016761,null,12/23/1974,null,null,,,,,,,,,,,
null,-0.82863759,3/17/1975,null,null,,,,,,,,,,,
279.9650711,null,7/12/1975,null,null,,,,,,,,,,,
279.8741166,null,11/28/1975,null,null,,,,,,,,,,,
279.7862684,null,1/31/1976,null,null,,,,,,,,,,,
279.8059747,null,2/23/1976,null,null,,,,,,,,,,,
279.7739746,null,5/7/1976,null,null,,,,,,,,,,,
null,-0.816810173,3/29/1977,null,null,,,,,,,,,,,
279.7328363,null,7/31/1977,null,null,,,,,,,,,,,
null,-0.846391043,11/10/1977,null,null,,,,,,,,,,,
null,-0.870062314,3/2/1978,null,null,,,,,,,,,,,
279.7530357,null,3/21/1978,null,null,,,,,,,,,,,
null,-0.875980131,3/25/1978,null,null,,,,,,,,,,,
279.7846248,null,7/28/1978,null,null,,,,,,,,,,,
279.7825375,null,7/31/1979,null,null,,,,,,,,,,,
null,-1.055421514,11/1/1979,null,null,,,,,,,,,,,
null,-1.059358507,11/23/1979,null,null,,,,,,,,,,,
null,-1.079076347,2/21/1980,null,null,,,,,,,,,,,
279.6795029,null,2/27/1980,null,null,,,,,,,,,,,
null,-1.083021559,3/15/1980,null,null,,,,,,,,,,,
279.6088299,null,7/15/1980,null,null,,,,,,,,,,,
279.5456679,null,10/13/1980,null,null,,,,,,,,,,,
null,-1.138229866,11/18/1980,null,null,,,,,,,,,,,
279.4839523,null,11/27/1980,null,null,,,,,,,,,,,
279.521409,null,11/27/1980,null,null,,,,,,,,,,,
279.5378281,null,11/27/1980,null,null,,,,,,,,,,,
279.4552229,null,12/11/1980,null,null,,,,,,,,,,,
null,-1.150065502,1/24/1981,null,null,,,,,,,,,,,
279.4554859,null,3/28/1981,null,null,,,,,,,,,,,
null,-1.163865524,4/25/1981,null,null,,,,,,,,,,,
