localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,intro,imgsrc,datasrc,fastfacts,moreinfo,moreinfosrc
118.5097927,118.5097927,5/1/01,null,null,,,,,,,,,,
119.5900972,119.5900972,5/31/01,null,null,,,,,,,,,,
118.6113106,118.6113106,7/1/01,null,null,,,,,,,,,,
117.5310061,117.5310061,7/31/01,null,null,,,,,,,,,,
null,null,8/7/01,720,-1920,,,,,,,,,,
118.2512091,118.2512091,8/30/01,null,null,,,,,,,,,,
116.7590863,116.7590863,9/30/01,null,null,,,,,,,,,,
119.8486807,119.8486807,10/30/01,null,null,,,,,,,,,,
119.3334291,119.3334291,11/30/01,null,null,,,,,,,,,,
118.7664608,118.7664608,12/30/01,null,null,,,,,,,,,,
118.7664608,118.7664608,1/29/02,null,null,,,,,,,,,,
117.6861562,117.6861562,3/1/02,null,null,,,,,,,,,,
118.0979744,118.0979744,3/31/02,null,null,,,,,,,,,,
118.7147441,118.7147441,5/1/02,null,null,,,,,,,,,,
118.6113106,118.6113106,5/31/02,null,null,,,,,,,,,,
115.0600967,115.0600967,7/1/02,null,null,,,,,,,,,,
115.3167648,115.3167648,7/31/02,null,null,,,,,,,,,,
114.9049466,114.9049466,8/30/02,null,null,,,,,,,,,,
null,null,9/11/02,1440,-1920,,,,,,,,,,
115.2152469,115.2152469,10/1/02,null,null,,,,,,,,,,
115.00838,115.00838,10/31/02,null,null,,,,,,,,,,
115.6787818,115.6787818,12/1/02,null,null,,,,,,,,,,
115.5236317,115.5236317,12/31/02,null,null,,,,,,,,,,
115.4201982,115.4201982,1/31/03,null,null,,,,,,,,,,
115.7802998,115.7802998,3/2/03,null,null,,,,,,,,,,
115.8837332,115.8837332,4/1/03,null,null,,,,,,,,,,
113.3611071,113.3611071,5/2/03,null,null,,,,,,,,,,
112.5374707,112.5374707,6/1/03,null,null,,,,,,,,,,
112.4876694,112.4876694,7/2/03,null,null,,,,,,,,,,
112.7443375,112.7443375,8/1/03,null,null,,,,,,,,,,
113.1561557,113.1561557,9/1/03,null,null,,,,,,,,,,
null,null,9/30/03,2160,-1920,,,,,,,,,,
112.7941388,112.7941388,10/1/03,null,null,,,,,,,,,,
111.2502993,111.2502993,10/31/03,null,null,,,,,,,,,,
108.5227218,108.5227218,12/1/03,null,null,,,,,,,,,,
108.0074702,108.0074702,1/31/04,null,null,,,,,,,,,,
107.6990854,107.6990854,3/1/04,null,null,,,,,,,,,,
107.4424173,107.4424173,4/1/04,null,null,,,,,,,,,,
107.0804003,107.0804003,5/1/04,null,null,,,,,,,,,,
106.8237322,106.8237322,5/31/04,null,null,,,,,,,,,,
