localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,intro,imgsrc,datasrc,fastfacts,moreinfo,moreinfosrc
null,398.5,28733,null,null,,,,,,,,,,
138.8957525,420.15,28763,null,null,,,,,,,,,,
137.0933295,null,28793,null,null,,,,,,,,,,
null,425.06,28794,null,null,,,,,,,,,,
135.54949,460.86,28824,null,null,,,,,,,,,,
137.1450462,null,28854,null,null,,,,,,,,,,
null,448.04,28855,null,null,,,,,,,,,,
136.8366614,null,28884,null,null,,,,,,,,,,
null,412.01,28886,null,null,,,,,,,,,,
null,444.92,28914,null,null,,,,,,,,,,
135.8578748,null,28915,null,null,,,,,,,,,,
134.4174688,408.09,28945,null,null,,,,,,,,,,
null,401.31,28975,null,null,,,,,,,,,,
134.8790883,null,28976,null,null,,,,,,,,,,
134.2623186,404.98,29006,null,null,,,,,,,,,,
null,410.21,29036,null,null,,,,,,,,,,
134.6224202,null,29037,null,null,,,,,,,,,,
135.54949,421.77,29067,null,null,,,,,,,,,,
135.2928219,null,29097,null,null,,,,,,,,,,
null,410.62,29098,null,null,,,,,,,,,,
135.7544414,424.38,29128,null,null,,,,,,,,,,
null,429.6,29159,null,null,,,,,,,,,,
135.8578748,474.74,29189,null,null,,,,,,,,,,
133.9022171,null,29219,null,null,,,,,,,,,,
null,469.11,29220,null,null,,,,,,,,,,
131.7914093,null,29250,null,null,,,,,,,,,,
null,435.12,29251,null,null,,,,,,,,,,
135.2411052,463.93,29280,null,null,,,,,,,,,,
132.8717138,null,29310,null,null,,,,,,,,,,
null,422.06,29311,null,null,,,,,,,,,,
134.7258536,418.47,29341,null,null,,,,,,,,,,
134.2623186,null,29371,null,null,,,,,,,,,,
null,418.68,29372,null,null,,,,,,,,,,
135.651008,421.59,29402,null,null,,,,,,,,,,
134.4064869,null,29424,720,0,,,,,,,,,,
133.9539338,null,29432,null,null,,,,,,,,,,
null,430.47,29433,null,null,,,,,,,,,,
131.122923,null,29462,null,null,,,,,,,,,,
null,415.25,29464,null,null,,,,,,,,,,
134.3638366,null,29493,null,null,,,,,,,,,,
null,438.64,29494,null,null,,,,,,,,,,
134.829287,null,29523,null,null,,,,,,,,,,
null,441.17,29525,null,null,,,,,,,,,,
136.3731265,null,29554,null,null,,,,,,,,,,
null,469.03,29555,null,null,,,,,,,,,,
134.7258536,null,29584,null,null,,,,,,,,,,
null,489.21,29586,null,null,,,,,,,,,,
135.0859551,null,29615,null,null,,,,,,,,,,
null,453.27,29617,null,null,,,,,,,,,,
141.6750467,477.6,29645,null,null,,,,,,,,,,
142.3952497,null,29675,null,null,,,,,,,,,,
null,438.47,29676,null,null,,,,,,,,,,
140.7479768,430.85,29706,null,null,,,,,,,,,,
142.3952497,null,29736,null,null,,,,,,,,,,
null,428.18,29737,null,null,,,,,,,,,,
140.0277738,437.94,29767,null,null,,,,,,,,,,
138.8957525,null,29797,null,null,,,,,,,,,,
null,438.45,29798,null,null,,,,,,,,,,
137.6602978,null,29828,null,null,,,,,,,,,,
null,431.06,29829,null,null,,,,,,,,,,
138.0929305,null,29856,0,-480,,,,,,,,,,
138.1238328,null,29858,null,null,,,,,,,,,,
null,453.2,29859,null,null,,,,,,,,,,
135.8061581,null,29888,null,null,,,,,,,,,,
null,457,29890,null,null,,,,,,,,,,
134.829287,null,29919,null,null,,,,,,,,,,
